Radar Image Timestamp,Latitude,Longitude,DBZH
20231231 23:50:00,65.08015146185356,-14.571540117304027,65.0
20231231 23:50:00,51.84869109714763,5.239806309560095,65.0
20231231 23:50:00,51.81279553342316,5.243647624319662,68.5
20231231 23:50:00,46.17725637647987,14.031898558165986,65.0
20231231 23:50:00,46.157212558423645,14.082242297261141,66.0
20231231 23:50:00,46.13920437254068,14.08085532911545,65.5
20240101 00:05:00,65.05952390866169,-14.459986357708951,79.5
20240101 00:05:00,65.04280521497343,-14.444077368425207,79.5
20240101 00:05:00,64.54494496629275,-15.469340695818035,77.5
20240101 00:20:00,65.08015146185356,-14.571540117304027,72.0
20240101 00:20:00,65.05952390866169,-14.459986357708951,79.5
20240101 00:20:00,65.04280521497343,-14.444077368425207,79.5
20240101 00:20:00,64.60800911467304,-15.4400615799948,65.0
20240101 00:20:00,64.54494496629275,-15.469340695818035,66.5
20240101 00:20:00,53.04731815137298,4.2367181851937845,69.5
20240101 00:35:00,53.74425050499697,6.336184831992279,65.0
20240101 00:35:00,53.70738892736704,6.308980338378971,66.5
20240101 00:35:00,53.02494780543255,4.149693527669513,67.5
20240101 00:35:00,46.15924765367495,14.030527889004635,69.0
20240101 00:50:00,65.05952390866169,-14.459986357708951,78.5
20240101 00:50:00,65.04280521497343,-14.444077368425207,78.5
20240101 00:50:00,64.54494496629275,-15.469340695818035,73.5
20240101 01:05:00,65.08015146185356,-14.571540117304027,66.5
20240101 01:05:00,65.05952390866169,-14.459986357708951,73.0
20240101 01:05:00,65.04280521497343,-14.444077368425207,73.0
20240101 01:05:00,64.83709859714376,-15.574071683832921,70.5
20240101 01:05:00,64.58810909132671,-15.556887040049995,65.5
20240101 01:05:00,64.5715129731131,-15.540638986630158,65.0
20240101 01:05:00,46.13610432953574,14.158393863733094,65.5
20240101 01:05:00,46.11913651215509,14.13114537392221,65.5
20240101 01:35:00,64.83709859714376,-15.574071683832921,70.0
20240101 01:35:00,43.964264486386135,2.913336274166849,68.0
20240101 01:35:00,43.946289175605905,2.9155968609916374,68.0
20240101 01:50:00,65.05952390866169,-14.459986357708951,78.0
20240101 01:50:00,65.04280521497343,-14.444077368425207,78.0
20240101 01:50:00,64.83709859714376,-15.574071683832921,70.0
20240101 01:50:00,64.54494496629275,-15.469340695818035,68.5
20240101 01:50:00,46.157212558423645,14.082242297261141,67.0
20240101 01:50:00,46.13920437254068,14.08085532911545,68.5
20240101 02:05:00,64.83709859714376,-15.574071683832921,70.5
20240101 02:05:00,56.1913512027032,16.03969710079798,67.0
20240101 02:05:00,56.173439768000115,16.036879791197464,67.0
20240101 02:05:00,46.15924765367495,14.030527889004635,65.5
20240101 02:05:00,46.15823334570061,14.056385547274914,69.5
20240101 02:05:00,46.157212558423645,14.082242297261141,69.5
20240101 02:20:00,65.08015146185356,-14.571540117304027,72.0
20240101 02:20:00,65.05952390866169,-14.459986357708951,74.5
20240101 02:20:00,65.04280521497343,-14.444077368425207,74.5
20240101 02:20:00,64.5715129731131,-15.540638986630158,69.0
20240101 02:20:00,46.17725637647987,14.031898558165986,65.0
20240101 02:20:00,46.15924765367495,14.030527889004635,67.0
20240101 02:35:00,65.08015146185356,-14.571540117304027,65.5
20240101 02:35:00,46.17725637647987,14.031898558165986,71.0
20240101 02:35:00,46.15924765367495,14.030527889004635,68.5
20240101 02:50:00,64.63458974504188,-15.51150673020548,65.0
20240101 02:50:00,46.17522049887007,14.083630459706502,67.5
20240101 02:50:00,46.15924765367495,14.030527889004635,66.5
20240101 02:50:00,46.15823334570061,14.056385547274914,67.0
20240101 02:50:00,46.13920437254068,14.08085532911545,66.5
20240101 02:50:00,46.13817750085708,14.106702427729843,68.0
20240101 02:50:00,46.13610432953574,14.158393863733094,68.0
20240101 02:50:00,46.11913651215509,14.13114537392221,68.0
20240101 03:05:00,65.08015146185356,-14.571540117304027,69.0
20240101 03:05:00,65.05952390866169,-14.459986357708951,73.5
20240101 03:05:00,65.04280521497343,-14.444077368425207,73.5
20240101 03:05:00,64.58810909132671,-15.556887040049995,66.0
20240101 03:05:00,64.60800911467304,-15.4400615799948,68.5
20240101 03:05:00,64.54494496629275,-15.469340695818035,72.0
20240101 03:20:00,65.04280521497343,-14.444077368425207,65.5
20240101 03:20:00,47.592188613553695,18.25980451171166,67.5
20240101 03:20:00,47.59010814299619,18.286275870734947,68.5
20240101 03:20:00,47.588021046614315,18.31274523648963,65.0
20240101 03:20:00,47.572217472878954,18.283343254080336,68.5
20240101 03:20:00,47.57013120757636,18.309803460238967,66.0
20240101 03:35:00,65.05952390866169,-14.459986357708951,65.5
20240101 03:35:00,65.06590280232886,-14.420165268706253,66.0
20240101 03:35:00,65.07227184430624,-14.380326426108395,65.0
20240101 03:35:00,65.04280521497343,-14.444077368425207,65.5
20240101 03:35:00,65.06189931053292,-14.324621937475149,65.0
20240101 03:35:00,64.83709859714376,-15.574071683832921,69.5
20240101 03:35:00,47.57013120757636,18.309803460238967,67.0
20240101 03:35:00,47.56803831979609,18.336261669776327,68.5
20240101 03:35:00,47.56593881033263,18.362717876679838,66.0
20240101 03:35:00,47.552241072200935,18.306864275153423,67.0
20240101 03:35:00,47.550149017295375,18.333313335598316,68.5
20240101 03:35:00,47.548050343256676,18.359760396083903,67.5
20240101 04:05:00,65.07046935089015,-14.149356172176104,65.0
20240101 04:05:00,64.5715129731131,-15.540638986630158,69.5
20240101 04:05:00,64.54494496629275,-15.469340695818035,75.0
20240101 04:20:00,65.08015146185356,-14.571540117304027,71.0
20240101 04:20:00,64.54494496629275,-15.469340695818035,68.5
20240101 04:50:00,65.08015146185356,-14.571540117304027,65.5
20240101 04:50:00,64.83709859714376,-15.574071683832921,70.5
20240101 04:50:00,64.54494496629275,-15.469340695818035,72.5
20240101 04:50:00,48.592441002620504,19.523203240290435,68.5
20240101 05:05:00,65.05952390866169,-14.459986357708951,78.5
20240101 05:05:00,65.04280521497343,-14.444077368425207,78.5
20240101 05:05:00,64.83709859714376,-15.574071683832921,65.5
20240101 05:05:00,64.54494496629275,-15.469340695818035,72.5
20240101 05:20:00,65.06590280232886,-14.420165268706253,65.5
20240101 05:20:00,64.83709859714376,-15.574071683832921,73.0
20240101 05:35:00,65.05952390866169,-14.459986357708951,65.0
20240101 05:35:00,65.07227184430624,-14.380326426108395,68.5
20240101 05:35:00,65.04280521497343,-14.444077368425207,65.0
20240101 05:35:00,65.06189931053292,-14.324621937475149,68.0
20240101 05:35:00,64.83709859714376,-15.574071683832921,74.0
20240101 05:35:00,47.690085728468254,18.840297836056987,71.0
20240101 05:50:00,65.08015146185356,-14.571540117304027,68.0
20240101 05:50:00,65.07227184430624,-14.380326426108395,65.0
20240101 05:50:00,64.83709859714376,-15.574071683832921,67.5
20240101 05:50:00,65.08306178683887,-14.069530682323604,66.0
20240101 05:50:00,65.08702651869501,-13.798539815509168,65.0
20240101 06:05:00,65.05952390866169,-14.459986357708951,66.0
20240101 06:05:00,65.04280521497343,-14.444077368425207,66.5
20240101 06:05:00,64.83709859714376,-15.574071683832921,70.0
20240101 06:05:00,65.10563664586478,-13.678479708046398,66.0
20240101 06:05:00,65.08883410636679,-13.663027790197003,67.0
20240101 06:20:00,65.06984781728573,-14.515740869978274,67.0
20240101 06:20:00,64.83709859714376,-15.574071683832921,72.5
20240101 06:20:00,65.0913497690633,-13.894070118300453,65.0
20240101 06:20:00,65.09758720684032,-13.854081603441672,65.0
20240101 06:20:00,65.09323983377523,-13.758537176878285,65.5
20240101 06:20:00,65.0994432117869,-13.718517136146101,65.5
20240101 06:20:00,65.11182012914745,-13.638424907382294,67.0
20240101 06:20:00,65.07644578861243,-13.743043605506115,65.0
20240101 06:20:00,65.08883410636679,-13.663027790197003,65.5
20240101 06:20:00,65.09501334957842,-13.622993867912003,65.5
20240101 06:35:00,64.83709859714376,-15.574071683832921,71.5
20240101 06:35:00,64.60800911467304,-15.4400615799948,72.5
20240101 06:35:00,64.54494496629275,-15.469340695818035,67.0
20240101 06:50:00,65.02482096810198,-14.794006689056399,65.0
20240101 06:50:00,65.05952390866169,-14.459986357708951,65.0
20240101 06:50:00,65.04280521497343,-14.444077368425207,66.5
20240101 06:50:00,65.07457941371749,-14.244896504211605,65.0
20240101 06:50:00,65.08090465629094,-14.205007285328948,65.5
20240101 06:50:00,65.07046935089015,-14.149356172176104,65.0
20240101 06:50:00,65.07677051447324,-14.109452220576586,66.5
20240101 06:50:00,65.08306178683887,-14.069530682323604,66.5
20240101 06:50:00,65.09561463023083,-13.989634902681637,65.5
20240101 06:50:00,65.06001390132062,-14.0937501982688,65.5
20240101 06:50:00,65.07257795659307,-14.013930722646617,65.5
20240101 06:50:00,64.54494496629275,-15.469340695818035,71.0
20240101 07:05:00,65.08015146185356,-14.571540117304027,73.0
20240101 07:05:00,64.81384635932812,-15.596857604184565,69.5
20240101 07:05:00,64.5715129731131,-15.540638986630158,65.5
20240101 07:05:00,64.54494496629275,-15.469340695818035,68.0
20240101 07:05:00,64.57377496616,-14.953824928532633,65.0
20240101 07:05:00,64.58026711123432,-14.9147879957354,65.0
20240101 07:05:00,64.55711142543754,-14.937954357896993,65.0
20240101 07:05:00,49.115171129727564,19.764991161262305,66.0
20240101 07:05:00,47.54703395801529,19.02983358828922,66.0
20240101 07:05:00,47.531433523022265,19.000229450658377,65.0
20240101 07:05:00,47.529167836895944,19.026642733368327,65.0
20240101 07:05:00,47.511301398472064,19.023454682960274,66.0
20240101 07:05:00,47.49569853017045,18.993874312705593,65.5
20240101 07:05:00,47.47556756862494,19.0170869817042,66.5
20240101 07:05:00,47.45770017665793,19.01390732388167,67.0
20240101 07:20:00,65.07457941371749,-14.244896504211605,66.5
20240101 07:20:00,65.08090465629094,-14.205007285328948,65.0
20240101 07:20:00,64.83709859714376,-15.574071683832921,74.0
20240101 07:20:00,65.07046935089015,-14.149356172176104,66.0
20240101 07:20:00,65.07677051447324,-14.109452220576586,65.5
20240101 07:20:00,65.08306178683887,-14.069530682323604,66.0
20240101 07:20:00,65.09561463023083,-13.989634902681637,66.0
20240101 07:20:00,65.06001390132062,-14.0937501982688,65.5
20240101 07:20:00,65.11182012914745,-13.638424907382294,65.5
20240101 07:20:00,65.09501334957842,-13.622993867912003,65.5
20240101 07:20:00,49.115171129727564,19.764991161262305,67.5
20240101 07:20:00,47.45107252871191,18.878869433415797,65.5
20240101 07:20:00,47.44883770159653,18.905245895081155,67.0
20240101 07:20:00,47.44659628095318,18.93162023412776,67.5
20240101 07:35:00,64.79725451407475,-15.580421863463432,69.5
20240101 07:35:00,64.60800911467304,-15.4400615799948,68.0
20240101 07:35:00,53.84044324766098,6.541413854496593,66.0
20240101 07:35:00,53.821590839435125,6.512467507610671,66.0
20240101 07:35:00,49.115171129727564,19.764991161262305,71.0
20240101 07:35:00,47.482220412276874,18.72364353687376,65.5
20240101 07:35:00,47.48002429274199,18.750041692395023,65.5
20240101 07:35:00,47.47782157214265,18.776437757966495,66.0
20240101 07:35:00,47.4711738122757,18.855613355743372,67.0
20240101 07:35:00,47.4555223989974,18.8261101658288,65.0
20240101 07:35:00,47.45330076145841,18.852490855030712,68.0
20240101 07:35:00,47.45107252871191,18.878869433415797,69.0
20240101 07:35:00,47.44883770159653,18.905245895081155,68.5
20240101 07:50:00,65.05952390866169,-14.459986357708951,66.5
20240101 07:50:00,65.06590280232886,-14.420165268706253,66.5
20240101 07:50:00,65.07227184430624,-14.380326426108395,68.0
20240101 07:50:00,65.04280521497343,-14.444077368425207,67.0
20240101 07:50:00,65.09323983377523,-13.758537176878285,65.0
20240101 07:50:00,65.11182012914745,-13.638424907382294,65.0
20240101 07:50:00,65.07644578861243,-13.743043605506115,65.0
20240101 07:50:00,65.08264491709542,-13.703044374327435,65.0
20240101 07:50:00,65.09501334957842,-13.622993867912003,65.5
20240101 07:50:00,65.10118263988626,-13.582942622338866,65.0
20240101 07:50:00,65.08437006310821,-13.567553822459177,65.0
20240101 07:50:00,65.09052516864412,-13.527506197046218,65.0
20240101 07:50:00,49.15327791237396,19.744978086477758,67.5
20240101 07:50:00,47.64764912232687,18.91346862481498,68.0
20240101 08:05:00,65.06590280232886,-14.420165268706253,67.0
20240101 08:05:00,65.07227184430624,-14.380326426108395,65.5
20240101 08:05:00,65.04280521497343,-14.444077368425207,67.5
20240101 08:05:00,65.06189931053292,-14.324621937475149,68.0
20240101 08:05:00,65.06824429614798,-14.284768059565446,65.5
20240101 08:05:00,65.08090465629094,-14.205007285328948,66.0
20240101 08:05:00,64.83709859714376,-15.574071683832921,75.5
20240101 08:05:00,65.05150658211818,-14.268962366204864,65.5
20240101 08:05:00,65.07677051447324,-14.109452220576586,65.5
20240101 08:05:00,65.06001390132062,-14.0937501982688,65.5
20240101 08:05:00,65.09758720684032,-13.854081603441672,65.5
20240101 08:05:00,65.08080327341561,-13.838525037374358,65.5
20240101 08:05:00,65.10563664586478,-13.678479708046398,65.5
20240101 08:05:00,65.11182012914745,-13.638424907382294,67.0
20240101 08:05:00,65.08883410636679,-13.663027790197003,65.5
20240101 08:05:00,65.09501334957842,-13.622993867912003,69.0
20240101 08:05:00,64.58145665140447,-15.595793521498143,65.0
20240101 08:05:00,64.58810909132671,-15.556887040049995,65.0
20240101 08:20:00,65.05952390866169,-14.459986357708951,67.0
20240101 08:20:00,65.06590280232886,-14.420165268706253,66.5
20240101 08:20:00,65.07227184430624,-14.380326426108395,70.0
20240101 08:20:00,65.04280521497343,-14.444077368425207,67.0
20240101 08:20:00,65.06189931053292,-14.324621937475149,68.5
20240101 08:20:00,65.06824429614798,-14.284768059565446,68.0
20240101 08:20:00,65.07457941371749,-14.244896504211605,65.5
20240101 08:20:00,65.08090465629094,-14.205007285328948,66.0
20240101 08:20:00,64.83709859714376,-15.574071683832921,74.5
20240101 08:20:00,65.05150658211818,-14.268962366204864,68.0
20240101 08:20:00,65.07046935089015,-14.149356172176104,65.5
20240101 08:20:00,65.07677051447324,-14.109452220576586,65.0
20240101 08:20:00,65.08306178683887,-14.069530682323604,68.0
20240101 08:20:00,65.08934316106436,-14.02959157160591,68.0
20240101 08:20:00,65.09561463023083,-13.989634902681637,65.5
